id,country,city,date,lattitude,longitude,max_temp,wind_speed,humidity,cloudiness
2508813,DZ,Adrar,1556931600,27.87,-0.29,73.4,4.7,16,0
262462,GR,Saint George,1556931000,39.45,22.34,48.2,2.46,76,75
3418910,GL,Upernavik,1556935736,72.79,-56.15,26.56,13.29,88,46
2126123,RU,Chokurdakh,1556936046,70.62,147.9,30.76,6.42,94,92
4020109,PF,Atuona,1556935735,-9.8,-139.03,83.61,17.11,79,0
1282256,MV,Hithadhoo,1556935799,-0.6,73.08,84.72,8.19,78,99
3448903,BR,Sao Joao da Barra,1556936050,-21.64,-41.05,72.37,3.36,97,77
986717,ZA,Kruisfontein,1556935820,-34.0,24.73,53.67,8.37,86,82
5960603,CA,Geraldton,1556931600,49.72,-86.95,42.8,3.36,56,75
2126199,RU,Cherskiy,1556935907,68.75,161.3,33.12,3.27,99,66
2640377,GB,Penzance,1556935987,50.12,-5.53,51.01,8.05,81,100
3616253,NI,Siuna,1556936057,13.73,-84.78,70.41,2.17,98,62
3863379,AR,Mar del Plata,1556936058,-46.43,-67.52,40.8,14.25,63,87
2337181,NG,Iseyin,1556936060,7.97,3.6,77.4,4.85,88,100
1865309,JP,Katsuura,1556935104,33.93,134.5,71.6,11.41,60,20
3421765,GL,Nanortalik,1556936063,60.14,-45.24,40.51,4.12,65,5
546105,RU,Nikolskoye,1556935361,59.7,30.79,36.0,8.95,59,75
2517679,ES,Fortuna,1556936031,38.18,-1.13,57.2,5.82,71,0
3369157,ZA,Cape Town,1556935865,-33.93,18.42,59.0,4.7,93,0
3397893,BR,Sao Sebastiao,1556936069,-3.15,-58.36,75.27,1.57,97,84
1651810,TL,Airai,1556936070,-8.93,125.41,89.51,1.23,55,100
2015306,RU,Tiksi,1556935957,71.64,128.87,17.92,16.55,78,0
2156643,AU,Mount Gambier,1556931600,-37.83,140.78,53.6,13.87,71,90
5106834,US,Albany,1556935599,42.65,-73.75,57.2,3.36,100,90
1176048,PK,Jati,1556936076,24.35,68.27,87.85,10.42,40,0
336526,ET,Gidole,1556936077,5.65,37.37,68.56,2.84,79,94
2065594,AU,Mount Isa,1556933400,-20.73,139.49,75.2,14.99,47,0
4030556,PF,Rikitea,1556935772,-23.12,-134.97,77.25,16.8,74,72
5848280,US,Kapaa,1556935696,22.08,-159.32,82.4,18.34,65,90
3394023,BR,Natal,1556931600,-5.81,-35.21,77.0,4.7,83,20
1015776,ZA,Bredasdorp,1556935414,-34.53,20.04,55.0,5.82,81,73
2012530,RU,Zhigansk,1556935924,66.77,123.37,30.63,11.18,92,1
3833367,AR,Ushuaia,1556931600,-54.81,-68.31,35.6,6.93,69,0
6089245,CA,Norman Wells,1556931600,65.28,-126.83,24.8,4.7,49,40
1006984,ZA,East London,1556935546,-33.02,27.91,57.58,9.8,73,51
1045114,MZ,Inhambane,1556935494,-23.87,35.38,63.43,4.97,96,0
2396518,GA,Port-Gentil,1556936035,-0.72,8.78,81.43,9.06,87,100
5983720,CA,Iqaluit,1556935364,63.75,-68.52,17.6,18.34,92,20
110690,SA,Faya,1556931600,18.39,42.45,71.6,3.36,28,40
2075265,AU,Busselton,1556935430,-33.64,115.35,70.0,23.85,51,6
3489440,JM,Morant Bay,1556931600,17.88,-76.41,82.4,18.34,58,20
3416888,IS,Grindavik,1556935200,63.84,-22.43,41.0,11.41,93,75
2092164,PG,Lorengau,1556935836,-2.02,147.27,78.57,9.62,90,100
3649017,VE,Araure,1556936100,9.59,-69.23,70.65,2.82,80,100
3443061,UY,Chuy,1556935845,-33.69,-53.46,65.23,4.5,83,0
2234663,CM,Batouri,1556936103,4.44,14.36,70.61,3.53,98,100
4035715,CK,Avarua,1556933400,-21.21,-159.78,80.6,17.22,78,100
2208248,NZ,Kaitangata,1556936106,-46.28,169.85,59.25,4.25,73,100
3652764,EC,Puerto Ayora,1556935229,-0.74,-90.35,78.8,17.22,83,20
344979,ET,Lebu,1556931600,8.96,38.73,59.0,3.36,51,20
5855927,US,Hilo,1556935516,19.71,-155.08,78.01,9.17,73,90
1273574,IN,Vaini,1556931600,15.34,74.49,66.2,3.36,100,90
2163355,AU,Hobart,1556935695,-42.88,147.33,61.0,14.99,82,75
3469169,BR,Cervo,1556936115,-22.19,-46.24,64.9,4.68,88,100
3896218,CL,Castro,1556931600,-42.48,-73.76,53.6,6.93,100,90
1283285,NP,Jumla,1556936117,29.28,82.18,57.02,3.6,18,0
5847411,US,Kahului,1556935630,20.89,-156.47,80.6,14.99,65,75
3390864,BR,Acari,1556936120,-6.44,-36.64,72.63,12.3,86,31
6144195,CA,Senneterre,1556931600,48.39,-77.24,42.8,4.7,52,40
3440963,UY,Progreso,1556935882,-34.68,-56.22,64.0,18.48,87,0
4149959,US,Cape Canaveral,1556936119,28.41,-80.6,79.0,8.05,83,1
6170031,CA,Tuktoyaktuk,1556931600,69.44,-133.03,24.8,14.99,79,5
3374210,CV,Sao Filipe,1556936127,14.9,-24.5,71.87,15.52,80,2
1067565,MG,Beloha,1556936128,-25.17,45.06,69.39,5.21,68,0
3870243,CL,Taltal,1556936130,-25.41,-70.49,60.76,2.35,78,0
6453395,SE,Halden,1556936128,59.12,11.39,36.0,12.75,57,39
6138908,CA,Saint-Philippe,1556935669,45.36,-73.48,50.0,6.93,100,90
